isin,as_of,mix
INE04UP07196,30/06/2026,"Corporates 86%, AIF 14%"
INE04UP07204,30/06/2026,"Corporates 86%, AIF 14%"
INE04VS07321,30/06/2026,"Individuals 50%, Corporates 36%, AIF 14%, Clearing members 0.1%"
INE04VS07354,30/06/2026,"Corporates 75%, Individuals 13%, AIF 11%, NBFC 0.1%, Clearing members 0.1%"
INE04VS07370,30/06/2026,"Corporates 50%, Individuals 39%, AIF 8.4%, NBFC 2%"
INE04VS07388,30/06/2026,"Corporates 59%, Individuals 33%, Trusts 7.1%, NRIs 0.1%"
INE04VS07438,30/06/2026,"Trusts 39%, Individuals 36%, Corporates 25%, NRIs 0.2%"
INE04VS07495,30/06/2026,MF 100%
INE04VS07511,30/06/2026,"Corporates 62%, Insurance 30%, Individuals 8.4%"
INE053F07538,30/06/2026,"Individuals 53%, Corporates 31%, Banks 11%, NRIs 2.1%, Insurance 1.1%, Trusts 0.5%, others 0.5%"
INE053F07579,30/06/2026,"Individuals 41%, Corporates 27%, Banks 24%, NRIs 3.8%, Insurance 3.5%, Clearing members 1%, others 0.5%"
INE053F07645,30/06/2026,"Banks 53%, Individuals 43%, Corporates 3.6%, NRIs 0.2%"
INE053F07728,30/06/2026,"Individuals 58%, NRIs 17%, Corporates 12%, Banks 12%, Trusts 0.5%, Clearing members 0.1%"
INE053F07983,30/06/2026,"Govt 29%, MF 27%, Insurance 13%, PF/Pension 12%, Trusts 8.6%, Banks 5.4%, others 4.6%"
INE053F07AA7,30/06/2026,"Insurance 43%, MF 17%, PF/Pension 17%, Trusts 15%, Corporates 4.5%, Banks 2.3%, others 1.3%"
INE053F07AB5,30/06/2026,"MF 23%, Insurance 22%, PF/Pension 21%, Corporates 10%, Trusts 10%, Banks 8%, others 6.1%"
INE053F07AC3,30/06/2026,"Insurance 39%, MF 29%, PF/Pension 15%, Corporates 8%, Banks 4.9%, Trusts 4.5%"
INE053F07AD1,30/06/2026,"PF/Pension 31%, Govt 21%, MF 20%, Trusts 13%, Insurance 11%, Corporates 3.4%"
INE053F07AY7,30/06/2026,"Insurance 34%, PF/Pension 25%, MF 24%, Trusts 13%, Corporates 3%, Govt 1.1%, others 0.6%"
INE053F07AZ4,30/06/2026,"Govt 48%, Insurance 20%, PF/Pension 16%, MF 7.7%, Trusts 7.6%, Corporates 0.5%, others 0.1%"
INE053F07BA5,30/06/2026,"PF/Pension 28%, Insurance 25%, Corporates 16%, MF 15%, Trusts 12%, Govt 2.2%, others 1.6%"
INE053F07BC1,30/06/2026,"Insurance 34%, PF/Pension 30%, Trusts 12%, MF 11%, Corporates 10%, Banks 1.7%, others 2.2%"
INE053F07BD9,30/06/2026,"Insurance 32%, PF/Pension 18%, Govt 14%, MF 13%, Trusts 10%, Corporates 10%, others 3.4%"
INE053F07BE7,30/06/2026,"Insurance 30%, Govt 21%, PF/Pension 16%, MF 16%, Banks 7.4%, Trusts 4.7%, others 4.5%"
INE053F07BR9,30/06/2026,"Govt 87%, PF/Pension 8.3%, Insurance 3.5%, MF 1.2%, Trusts 0.2%"
INE053F07BU3,30/06/2026,"PF/Pension 41%, MF 26%, Insurance 20%, Banks 6.8%, Trusts 3.2%, Corporates 1.2%, others 1.5%"
INE053F07BW9,30/06/2026,"MF 38%, PF/Pension 35%, Insurance 16%, Trusts 6.1%, Banks 2.8%, Corporates 2.4%, others 0.1%"
INE053F07BX7,30/06/2026,"Insurance 33%, PF/Pension 28%, MF 18%, Trusts 11%, Banks 5.5%, Corporates 3.3%, others 0.6%"
INE053F07BY5,30/06/2026,"MF 51%, PF/Pension 21%, Insurance 15%, Corporates 8.5%, Trusts 3.2%, Banks 0.6%, others 0.3%"
INE053F07CA3,30/06/2026,"Govt 59%, MF 23%, Insurance 5.7%, PF/Pension 5.7%, Trusts 3.9%, Banks 2%, others 1%"
INE053F07CQ9,30/06/2026,"Insurance 46%, PF/Pension 23%, Trusts 19%, Govt 8%, Corporates 2.4%, Banks 1.7%, others 1.1%"
INE053F07CS5,30/06/2026,"Insurance 44%, Govt 24%, PF/Pension 20%, Trusts 11%, Corporates 0.7%, FPI 0.4%"
INE053F08098,30/06/2026,"Govt 49%, Insurance 28%, PF/Pension 15%, Trusts 8.5%"
INE053F08106,30/06/2026,"Insurance 36%, PF/Pension 30%, Trusts 14%, MF 13%, Govt 5.5%, Corporates 1.3%, others 1.2%"
INE053F08114,30/06/2026,"Insurance 42%, Govt 39%, Trusts 10%, PF/Pension 5.3%, Corporates 2.1%, Banks 1.1%, others 0.2%"
INE053F08122,30/06/2026,"Insurance 43%, MF 18%, Trusts 16%, PF/Pension 9.2%, Corporates 6%, Govt 4.6%, others 2.9%"
INE053F08163,30/06/2026,"MF 66%, PF/Pension 16%, Trusts 9.2%, Insurance 4.7%, Banks 3%, Corporates 0.9%, others 0.1%"
INE053F08205,30/06/2026,"Govt 40%, PF/Pension 25%, Insurance 21%, Corporates 8%, Trusts 4.5%, MF 1.5%"
INE053F08221,30/06/2026,"PF/Pension 42%, Insurance 39%, Corporates 5.3%, Trusts 5.1%, Govt 4%, MF 3.6%, others 0.4%"
INE053F08247,30/06/2026,"Insurance 54%, PF/Pension 21%, MF 13%, Govt 9.4%, Trusts 2.4%"
INE053F08270,30/06/2026,"PF/Pension 36%, Insurance 29%, MF 16%, Govt 13%, Corporates 3.7%, Trusts 3%, others 0.4%"
INE053F08304,30/06/2026,"Banks 31%, Insurance 29%, MF 27%, Corporates 10%, Trusts 1.5%, PF/Pension 1%"
INE053F08312,30/06/2026,"Banks 39%, Insurance 32%, MF 22%, Corporates 5.5%, Trusts 1.8%"
INE053F08320,30/06/2026,"Banks 41%, MF 24%, Insurance 18%, PF/Pension 12%, Trusts 3.1%, Corporates 2.6%"
INE053F08338,30/06/2026,"Banks 45%, Insurance 29%, MF 18%, Corporates 7.5%"
INE053F08346,30/06/2026,"Govt 58%, PF/Pension 24%, Insurance 5.9%, MF 5.4%, Corporates 3.7%, Trusts 3.5%"
INE053F08353,30/06/2026,"MF 61%, Insurance 19%, PF/Pension 11%, FPI 4%, Corporates 2%, Banks 1.6%, others 1%"
INE053F08387,30/06/2026,"Govt 46%, MF 39%, Insurance 11%, PF/Pension 1.9%, Trusts 1.7%, Banks 0.6%"
INE053F08395,30/06/2026,"Insurance 51%, MF 16%, Govt 14%, PF/Pension 10%, Corporates 6.9%, Trusts 1.4%, others 1.2%"
INE053F08403,30/06/2026,"Insurance 51%, PF/Pension 23%, Corporates 15%, MF 11%, Trusts 0.5%"
INE053F08411,30/06/2026,"MF 49%, Insurance 17%, Banks 15%, PF/Pension 9.3%, FPI 6.9%, Corporates 2.5%, others 0.7%"
INE053F08445,30/06/2026,"Insurance 94%, PF/Pension 2.1%, Corporates 2.1%, MF 1.1%, Banks 0.4%, Trusts 0.2%"
INE053F08452,30/06/2026,"Insurance 65%, Govt 33%, Corporates 1.1%, MF 0.9%"
INE053F08478,30/06/2026,"Insurance 58%, PF/Pension 26%, MF 12%, Corporates 2%, Govt 1.7%, Banks 0.7%"
INE053F08486,30/06/2026,"Insurance 35%, MF 25%, Trusts 17%, PF/Pension 8.4%, Govt 6.7%, Banks 5%, others 2.8%"
INE053F08494,30/06/2026,"Insurance 30%, Banks 27%, PF/Pension 23%, MF 20%, Corporates 0.1%"
INE053F08502,30/06/2026,"Banks 31%, MF 30%, Insurance 25%, PF/Pension 6.7%, Corporates 6.7%, Trusts 0.2%"
INE053F08510,30/06/2026,"Banks 50%, MF 44%, Insurance 6%"
INE053F08528,30/06/2026,"Banks 39%, MF 25%, Insurance 20%, Corporates 9%, PF/Pension 5.7%, FPI 1%, others 0.7%"
INE053F08536,30/06/2026,"MF 49%, Corporates 24%, Individuals 18%, Insurance 5.5%, AIF 3.4%, Banks 0.2%"
INE053F09EL2,30/06/2026,"Insurance 36%, Trusts 28%, Banks 19%, PF/Pension 8.1%, MF 5.7%, FPI 2.5%, others 1.2%"
INE053F09EO6,30/06/2026,"Trusts 68%, MF 10%, Insurance 10%, Corporates 6.8%, PF/Pension 3.9%, Individuals 1.1%, others 1.2%"
INE053F09GX2,30/06/2026,"Trusts 52%, Insurance 23%, Govt 19%, PF/Pension 3.4%, MF 1.2%, Corporates 0.7%, others 0.5%"
INE055A08052,30/06/2026,MF 100%
INE055A08060,30/06/2026,"Insurance 45%, MF 40%, Banks 10%, Corporates 5%"
INE05NX24023,30/06/2026,"Trusts 27%, Banks 23%, Other FIs 13%, Govt 13%, Corporates 12%, Individuals 11%, others 0.6%"
INE05NX24031,30/06/2026,"Trusts 27%, Banks 23%, Other FIs 13%, Govt 13%, Corporates 12%, Individuals 12%, others 0.6%"
INE05TX07090,30/06/2026,"Corporates 80%, FPI 20%"
INE05XN08018,30/06/2026,"AIF 58%, Corporates 33%, FPI 6%, Individuals 3%"
INE062A08231,30/06/2026,"Insurance 83%, PF/Pension 6.9%, Trusts 6.9%, MF 2.1%, Banks 0.5%, Corporates 0.2%, others 0.1%"
INE062A08280,30/06/2026,"Corporates 64%, Trusts 25%, Individuals 4.4%, PF/Pension 4.1%, Govt 2%, Banks 0.2%, others 0.2%"
INE062A08298,30/06/2026,"Banks 41%, Corporates 27%, Trusts 19%, PF/Pension 8.4%, Individuals 3.1%, Govt 1.3%, others 0.1%"
INE062A08306,30/06/2026,"Corporates 61%, Trusts 11%, Banks 9.4%, Insurance 6.8%, PF/Pension 4.5%, Govt 3.4%, others 3.7%"
INE062A08314,30/06/2026,"Insurance 33%, Corporates 27%, PF/Pension 16%, Trusts 13%, Banks 6.3%, Individuals 1.6%, others 3%"
INE062A08348,30/06/2026,"Govt 41%, PF/Pension 26%, Insurance 26%, Trusts 3.1%, Corporates 2.6%, MF 0.5%"
INE062A08371,30/06/2026,"Insurance 54%, Trusts 16%, Banks 11%, PF/Pension 11%, Corporates 6.6%, Govt 1.9%, others 0.6%"
INE062A08405,30/06/2026,"Govt 80%, Insurance 8.4%, PF/Pension 5.6%, Trusts 3.2%, MF 2.6%, Banks 0.1%"
INE062A08413,30/06/2026,"Insurance 37%, Corporates 33%, Trusts 17%, Banks 6.5%, PF/Pension 3.6%, Individuals 2.3%, others 0.3%"
INE062A08439,30/06/2026,"Govt 76%, Insurance 21%, PF/Pension 1.8%, MF 1.6%, Corporates 0.2%, Trusts 0.2%"
INE062A08447,30/06/2026,"Govt 75%, MF 14%, PF/Pension 4.5%, Trusts 3%, Banks 2.2%, Insurance 0.7%, others 0.2%"
INE062A08454,30/06/2026,"Govt 62%, MF 25%, Banks 4.1%, PF/Pension 3%, Trusts 2.9%, Insurance 2.7%, others 0.4%"
INE065507BN0,30/06/2026,"Corporates 96%, Individuals 3.6%"
INE06E507371,30/06/2026,"Corporates 75%, Individuals 25%"
INE06E507397,30/06/2026,"Corporates 60%, Individuals 40%"
INE06E507405,30/06/2026,"Corporates 91%, Individuals 8.8%"
INE06E507413,30/06/2026,"Corporates 67%, Individuals 33%"
INE06E507439,30/06/2026,"Corporates 78%, Individuals 22%"
INE06E507454,30/06/2026,"Corporates 63%, Individuals 37%, NRIs 0.4%"
INE06E507462,30/06/2026,"Corporates 64%, Individuals 36%"
INE06E507470,30/06/2026,"Corporates 76%, Individuals 24%"
INE06E507488,30/06/2026,"Individuals 73%, Corporates 27%"
INE06E507496,30/06/2026,"Corporates 56%, Individuals 44%"
INE06WU07064,30/06/2026,"Corporates 73%, Individuals 26%, NRIs 0.3%"
INE06WU07072,30/06/2026,"Individuals 54%, Corporates 45%, Clearing members 0.8%"
INE071G07579,30/06/2026,"Insurance 42%, PF/Pension 42%, MF 17%"
INE071G07603,30/06/2026,"Insurance 48%, MF 13%, PF/Pension 13%, Banks 12%, Corporates 8.4%, Trusts 6.7%"
INE071G07645,30/06/2026,"Insurance 60%, MF 40%"
INE071G07660,30/06/2026,"MF 70%, Insurance 16%, Corporates 14%"
INE071G07694,30/06/2026,"MF 89%, Corporates 11%"
INE071G07728,30/06/2026,"MF 40%, Banks 27%, Insurance 23%, Trusts 8.3%, PF/Pension 1.7%"
INE071G07736,30/06/2026,"PF/Pension 36%, MF 27%, Insurance 27%, Banks 9.1%"
INE071G07751,30/06/2026,MF 100%
INE071G07777,30/06/2026,"MF 94%, Corporates 6.2%"
INE071G07819,30/06/2026,"MF 84%, Insurance 12%, Banks 2.4%, Corporates 2.4%"
INE071G07835,30/06/2026,"Banks 25%, Insurance 21%, Trusts 17%, PF/Pension 15%, Corporates 15%, MF 7%"
INE071G07843,30/06/2026,"MF 98%, Banks 2.5%"
INE071G07868,30/06/2026,MF 100%
INE076I07020,30/06/2026,"Individuals 77%, Corporates 23%, NRIs 0.2%"
INE076I07038,30/06/2026,"Individuals 78%, Corporates 22%, Clearing members 0.1%"
INE07HK07809,30/06/2026,"Individuals 71%, Corporates 29%, NRIs 0.4%, NBFC 0.4%"
INE07HK07817,30/06/2026,"Individuals 57%, Corporates 35%, AIF 4.8%, NBFC 1.4%, MF 1.1%, Trusts 0.4%, others 0.3%"
INE07HK07825,30/06/2026,"Individuals 71%, Corporates 25%, AIF 2.4%, NBFC 0.9%, NRIs 0.3%, Clearing members 0.1%"
INE07HK07841,30/06/2026,"Individuals 41%, Corporates 40%, AIF 18%, NBFC 1.3%"
INE07HK07866,30/06/2026,"Individuals 77%, Corporates 17%, NBFC 2.1%, AIF 2%, NRIs 1.4%, Clearing members 0.1%, others 0.1%"
INE07PX08019,30/06/2026,"Corporates 98%, Banks 0.8%, Individuals 0.8%"
INE07UF07026,30/06/2026,"MF 60%, Trusts 25%, Corporates 15%"
INE07UF07034,30/06/2026,MF 100%
INE07UF07042,30/06/2026,MF 100%
INE07Z507037,30/06/2026,MF 100%
INE081A08322,30/06/2026,"Insurance 70%, PF/Pension 17%, MF 10%, Trusts 3%"
INE081A08330,30/06/2026,"Insurance 62%, Banks 19%, PF/Pension 13%, FPI 2.6%, MF 2.3%, Trusts 1.2%, others 0.5%"
INE081J07010,30/06/2026,MF 100%
INE081J07028,30/06/2026,MF 100%
INE084A08169,30/06/2026,"Banks 33%, Trusts 28%, Corporates 22%, Govt 12%, Individuals 3.1%, MF 0.9%, others 0.7%"
INE084A08185,30/06/2026,"Govt 64%, PF/Pension 28%, Trusts 5.2%, Banks 1.8%, Insurance 0.7%"
INE087M08126,30/06/2026,MF 100%
INE087M08134,30/06/2026,MF 100%
INE087P07451,30/06/2026,"Banks 44%, Insurance 22%, Corporates 18%, MF 16%"
INE087P07469,30/06/2026,MF 100%
INE08BR07011,30/06/2026,"MF 42%, Banks 35%, Trusts 23%"
INE08BR07029,30/06/2026,"Corporates 50%, MF 30%, Banks 20%"
INE08BT07017,30/06/2026,"MF 67%, Banks 23%, Trusts 7.7%, Corporates 2.3%"
INE08BT07025,30/06/2026,"Corporates 58%, MF 41%, Trusts 1.9%"
INE08E807167,30/06/2026,"Corporates 52%, Individuals 28%, Clearing members 19%, NRIs 0.2%"
INE08GI08017,30/06/2026,Corporates 100%
INE08KJ07191,30/06/2026,"Corporates 50%, Clearing members 19%, Individuals 17%, NBFC 15%"
INE08OI07021,30/06/2026,"AIF 71%, Corporates 29%"
INE08X507665,30/06/2026,"Individuals 62%, Corporates 38%"
INE08XA07045,30/06/2026,"Individuals 69%, Corporates 31%, NRIs 0.1%"
INE08XP07324,30/06/2026,"Individuals 67%, Corporates 21%, NRIs 12%"
INE08XP07423,30/06/2026,"Individuals 93%, Corporates 6.4%, NRIs 1%"
INE08XP07464,30/06/2026,"Individuals 74%, Corporates 21%, Trusts 3.5%, NRIs 0.8%, NBFC 0.1%"
INE08XP07480,30/06/2026,"Individuals 66%, Corporates 34%, NRIs 0.3%"
INE08XP07498,30/06/2026,"Individuals 76%, Corporates 22%, AIF 1.9%, Clearing members 0.3%, NRIs 0.2%, NBFC 0.1%"
INE08XP07506,30/06/2026,"Corporates 54%, Individuals 39%, Clearing members 6.6%, NRIs 0.2%"
INE08Z607109,30/06/2026,"MF 50%, Corporates 50%"
INE08Z607117,30/06/2026,MF 100%
INE08Z607125,30/06/2026,MF 100%
INE08Z607133,30/06/2026,MF 100%
INE08Z607141,30/06/2026,MF 100%
INE090A08TY8,30/06/2026,"PF/Pension 72%, Insurance 19%, Trusts 5.8%, Corporates 1.7%, MF 0.9%, FPI 0.9%"
INE090A08UE8,30/06/2026,"PF/Pension 74%, Insurance 14%, MF 12%, Banks 0.4%"
INE090A08UF5,30/06/2026,"PF/Pension 32%, Insurance 24%, MF 21%, Corporates 19%, Banks 3.5%, FPI 1.1%"
INE090A08UG3,30/06/2026,"Insurance 94%, PF/Pension 5.2%, MF 0.3%"
INE090A08UL3,30/06/2026,"Insurance 68%, PF/Pension 28%, Banks 2.5%, FPI 1.7%, Corporates 0.1%"
INE090A08UM1,30/06/2026,"Insurance 48%, Trusts 35%, PF/Pension 14%, FPI 2.5%, Individuals 0.3%"
INE090A08UN9,30/06/2026,"Insurance 44%, PF/Pension 39%, Trusts 6.8%, MF 6.3%, Corporates 4.6%"
INE091A07208,30/06/2026,"MF 99%, PF/Pension 1.2%"
INE092A08071,30/06/2026,"Banks 94%, MF 5.9%"
INE092T08FA3,30/06/2026,"PF/Pension 45%, Insurance 39%, Trusts 7.7%, Corporates 6.1%, Govt 2.4%, NRIs 0.1%"
INE093I07074,30/06/2026,MF 100%
INE093I07082,30/06/2026,MF 100%
INE093J073M3,30/06/2026,"Individuals 89%, Corporates 11%"
INE093J074K5,30/06/2026,Individuals 100%
INE093J077Q5,30/06/2026,"Individuals 92%, Corporates 8.5%"
INE093J078Q3,30/06/2026,Individuals 100%
INE093J08575,30/06/2026,"Corporates 52%, Clearing members 36%, Individuals 12%"
INE093J08625,30/06/2026,"Individuals 91%, Corporates 9%"
INE093J08641,30/06/2026,Individuals 100%
INE093JA70F2,30/06/2026,"Individuals 51%, Corporates 34%, Clearing members 8.3%, NRIs 6.7%"
INE093JA70G0,30/06/2026,"Individuals 78%, Corporates 16%, Clearing members 5.5%"
INE093JA70I6,30/06/2026,Individuals 100%
INE093JA70N6,30/06/2026,"Individuals 92%, Corporates 7.9%"
INE093JA70O4,30/06/2026,Individuals 100%
INE093JA71H6,30/06/2026,Individuals 100%
INE093JA72L6,30/06/2026,"Individuals 81%, Corporates 18%, NRIs 1.2%"
INE093JA72N2,30/06/2026,"Individuals 88%, Corporates 12%"
INE093JA73K6,30/06/2026,Individuals 100%
INE093JA73U5,30/06/2026,"Individuals 88%, Corporates 12%"
INE093JA74A5,30/06/2026,"Individuals 57%, Clearing members 19%, Corporates 14%, NRIs 9.5%"
INE093JA74L2,30/06/2026,"Individuals 97%, Corporates 2.9%"
INE093JA75E4,30/06/2026,"Individuals 77%, Corporates 23%"
INE093JA75L9,30/06/2026,"Individuals 79%, Corporates 16%, NRIs 4.8%, Clearing members 0.7%"
INE093JA75U0,30/06/2026,Individuals 100%
INE093JA76R4,30/06/2026,"Individuals 78%, Corporates 22%, Clearing members 0.6%"
INE093JA77E0,30/06/2026,"Individuals 65%, Corporates 26%, Clearing members 9.2%"
INE093JA77J9,30/06/2026,"Individuals 88%, Corporates 12%"
INE093JA77M3,30/06/2026,Individuals 100%
INE093JA77W2,30/06/2026,Individuals 100%
INE093JA78I9,30/06/2026,"Individuals 95%, Corporates 5%"
INE093JA78O7,30/06/2026,"Individuals 70%, Corporates 30%"
INE093JA79I7,30/06/2026,Individuals 100%
INE093JA79R8,30/06/2026,Corporates 100%
INE093JA7BM6,30/06/2026,"Individuals 94%, Corporates 5.8%"
INE093JA7BP9,30/06/2026,Individuals 100%
INE093JA7V49,30/06/2026,"Individuals 86%, Corporates 13%, Clearing members 1.6%"
INE093JA7W63,30/06/2026,"Individuals 54%, Corporates 23%, Clearing members 23%"
INE093JA7W71,30/06/2026,"Individuals 61%, Corporates 35%, Clearing members 3.4%"
INE093JA7W89,30/06/2026,"Individuals 69%, Clearing members 31%"
INE093JB7053,30/06/2026,Individuals 100%
INE093JB7061,30/06/2026,Individuals 100%
INE093JB7087,30/06/2026,Individuals 100%
INE093JB70K0,30/06/2026,"Individuals 70%, Corporates 28%, Clearing members 2%"
INE093JB71I2,30/06/2026,"Individuals 81%, Corporates 17%, NRIs 2.1%"
INE093JB73A5,30/06/2026,"Individuals 90%, Corporates 7.2%, NRIs 2.7%"
INE093JB73L2,30/06/2026,"Individuals 93%, NRIs 3.6%, Corporates 3.6%"
INE093JB77J7,30/06/2026,"Individuals 94%, Corporates 6.5%"
INE093JB7C81,30/06/2026,Individuals 100%
INE093JB7CX0,30/06/2026,"Individuals 98%, Corporates 1.8%"
INE093JB7E14,30/06/2026,"Individuals 93%, Corporates 7.3%"
INE093JB7FH6,30/06/2026,"Individuals 67%, Corporates 33%"
INE093JB7IA5,30/06/2026,"Individuals 85%, Corporates 12%, NRIs 2.3%"
INE093JB7JD7,30/06/2026,"Corporates 74%, Individuals 26%"
INE093JB7SR8,30/06/2026,"Individuals 96%, Corporates 3.8%"
INE093JB7SU2,30/06/2026,Individuals 100%
INE093JB7TW6,30/06/2026,Individuals 100%
INE093JB7Z35,30/06/2026,"Individuals 91%, Corporates 9.5%"
INE093JC7EF2,30/06/2026,"Individuals 76%, Corporates 24%"
INE094A08150,30/06/2026,"Banks 38%, PF/Pension 24%, MF 19%, Insurance 12%, Trusts 3.6%, Corporates 3%"
INE094A08168,30/06/2026,"MF 55%, Banks 44%, Trusts 1.1%"
INE09B308044,30/06/2026,"Corporates 41%, Individuals 41%, Clearing members 18%, NRIs 0.2%, Trusts 0.1%"
INE0A3007073,30/06/2026,"Corporates 58%, Individuals 42%"
INE0AD507184,30/06/2026,"Trusts 54%, Insurance 46%"
INE0AY207061,30/06/2026,"MF 59%, Corporates 41%"
INE0B3K07033,30/06/2026,"AIF 62%, Individuals 21%, Corporates 17%"
INE0BBH07059,30/06/2026,Corporates 100%
INE0BBH07075,30/06/2026,Corporates 100%
INE0BJR08026,30/06/2026,"Trusts 52%, Corporates 46%, NBFC 2%, Individuals 0.1%"
INE0BUS07BV9,30/06/2026,"Individuals 82%, Corporates 16%, NRIs 1.1%, Clearing members 0.3%"
INE0BUS07BX5,30/06/2026,"Individuals 61%, Corporates 37%, NRIs 1.3%, Clearing members 0.2%"
INE0BUS07CH6,30/06/2026,"Individuals 64%, Corporates 36%"
INE0BUS07CJ2,30/06/2026,"Individuals 47%, FPI 24%, Corporates 20%, AIF 8%, NRIs 1%"
INE0BUS07CK0,30/06/2026,"Individuals 54%, Corporates 44%, NRIs 1.5%, Trusts 0.3%"
INE0BUS07CL8,30/06/2026,"Individuals 52%, Corporates 42%, Clearing members 4.3%, NRIs 0.6%, AIF 0.2%"
INE0BUS07CM6,30/06/2026,"Individuals 52%, Corporates 48%"
INE0BUS07CN4,30/06/2026,"Corporates 99%, Individuals 1.4%"
INE0BUS08047,30/06/2026,"Corporates 72%, Individuals 22%, NBFC 4.7%, NRIs 1%"
INE0BWS07045,30/06/2026,"PF/Pension 27%, Other FIs 21%, Corporates 17%, Insurance 13%, Banks 12%, MF 10%"
INE0C5208022,30/06/2026,"Trusts 54%, Corporates 46%, Individuals 0.1%"
INE0CCU07066,30/06/2026,"Insurance 42%, Corporates 30%, PF/Pension 16%, MF 12%"
INE0CCU07090,30/06/2026,MF 100%
INE0CCU07108,30/06/2026,MF 100%
INE0CCU07116,30/06/2026,"MF 70%, Insurance 20%, PF/Pension 10%"
INE0CCU07132,30/06/2026,MF 100%
INE0CCU07140,30/06/2026,"Insurance 84%, MF 16%"
INE0CCU07165,30/06/2026,MF 100%
INE0CCU07173,30/06/2026,"PF/Pension 79%, MF 21%"
INE0CCU07181,30/06/2026,"MF 98%, Insurance 2.1%"
INE0CCU07199,30/06/2026,"MF 91%, PF/Pension 8.9%"
INE0CTD07074,30/06/2026,"Corporates 74%, NBFC 25%, Individuals 1%"
INE0D4Z07011,30/06/2026,"Individuals 92%, Corporates 6.4%, Clearing members 1.1%, NRIs 0.3%"
INE0DJ207059,30/06/2026,"Corporates 96%, Individuals 3.1%, AIF 1.2%"
INE0E2T07090,30/06/2026,"Individuals 60%, Corporates 39%, NRIs 1.1%"
INE0EZ108066,30/06/2026,"Trusts 72%, Corporates 28%"
INE0FDU07018,30/06/2026,"MF 70%, FPI 30%"
INE0FUJ07056,30/06/2026,AIF 100%
INE0FUJ07072,30/06/2026,"Corporates 48%, Individuals 40%, AIF 12%, Trusts 0.4%"
INE0GCN07047,30/06/2026,"MF 68%, Banks 26%, Corporates 6.3%, Individuals 0.2%"
INE0GCN07054,30/06/2026,"Corporates 76%, Individuals 7.4%, FPI 4.7%, MF 4.6%, Banks 3.3%, Clearing members 2.3%, others 1.9%"
INE0GXL07062,30/06/2026,"Individuals 52%, Corporates 47%, NRIs 0.8%, Clearing members 0.1%"
INE0GXL07070,30/06/2026,"AIF 38%, Individuals 31%, Corporates 31%"
INE0H0207010,30/06/2026,"Corporates 67%, AIF 33%"
INE0H7R07058,30/06/2026,"MF 69%, Insurance 18%, PF/Pension 12%"
INE0H7R07066,30/06/2026,"MF 72%, Insurance 16%, PF/Pension 12%"
INE0H8N07105,30/06/2026,"FPI 76%, AIF 17%, Corporates 6.3%, Individuals 0.4%"
INE0I5X07034,30/06/2026,"Corporates 66%, Individuals 34%"
INE0IX207171,30/06/2026,"Individuals 83%, Trusts 10%, Corporates 5.6%, NRIs 1.4%"
INE0IX207189,30/06/2026,"Corporates 50%, Individuals 40%, Trusts 10%, NRIs 0.4%"
INE0IX207254,30/06/2026,"AIF 44%, Individuals 31%, Trusts 14%, Corporates 11%, NRIs 0.2%"
INE0J4S07028,30/06/2026,"Corporates 88%, Individuals 12%, Trusts 0.3%"
INE0JTP07149,30/06/2026,"Corporates 83%, Individuals 17%"
INE0JTP07164,30/06/2026,"AIF 71%, Individuals 21%, Corporates 7.1%"
INE0JYY07026,30/06/2026,"Individuals 56%, Clearing members 32%, AIF 5.6%, Corporates 5.3%, Banks 1%, NRIs 0.1%"
INE0JZO07024,30/06/2026,"Corporates 66%, Individuals 25%, Clearing members 8.2%"
INE0JZO07040,30/06/2026,"Individuals 51%, Corporates 49%, NRIs 0.3%, Clearing members 0.1%"
INE0JZO07057,30/06/2026,"Corporates 97%, Individuals 1.4%, Clearing members 1.2%"
INE0K0Y07021,30/06/2026,"Individuals 79%, Corporates 21%, NRIs 0.1%"
INE0K2Q07221,30/06/2026,"AIF 40%, NBFC 40%, Corporates 18%, Individuals 1.8%"
INE0K2Q07239,30/06/2026,Corporates 100%
INE0KUG08019,30/06/2026,"PF/Pension 30%, Insurance 22%, Banks 19%, Corporates 15%, Govt 5.1%, MF 4.8%, others 3%"
INE0KUG08043,30/06/2026,"Insurance 40%, PF/Pension 21%, Corporates 21%, Govt 17%, Trusts 0.3%"
INE0KUG08050,30/06/2026,"Insurance 57%, Govt 19%, PF/Pension 9.4%, Banks 6%, MF 4.5%, Corporates 3.7%"
INE0KUG08068,30/06/2026,"Insurance 29%, Govt 21%, Banks 17%, Corporates 12%, PF/Pension 12%, Trusts 6.7%, others 3.2%"
INE0KUG08076,30/06/2026,"Insurance 26%, MF 24%, Govt 23%, PF/Pension 16%, Banks 10%, Trusts 1.7%"
INE0KUG08084,30/06/2026,"Insurance 47%, Govt 30%, Banks 12%, MF 4.1%, Corporates 2.7%, PF/Pension 2.4%, others 0.6%"
INE0KUG08092,30/06/2026,"MF 36%, Banks 32%, Insurance 14%, PF/Pension 10%, Corporates 4.8%, Trusts 2.9%"
INE0KUG08100,30/06/2026,"Banks 44%, Insurance 17%, MF 17%, PF/Pension 14%, Corporates 6%, Trusts 2.1%"
INE0KUG08134,30/06/2026,"Trusts 47%, PF/Pension 23%, Govt 22%, Insurance 7.3%, Corporates 1%, Banks 0.1%"
INE0KUG08142,30/06/2026,"Banks 62%, MF 20%, PF/Pension 16%, Insurance 2.2%"
