isin,as_of,mix
INE020B08AQ9,30/06/2026,"Govt 72%, Trusts 13%, MF 6.9%, PF/Pension 4.8%, Insurance 2.9%, Banks 0.3%, others 0.2%"
INE020B08AX5,30/06/2026,"Insurance 29%, Trusts 25%, PF/Pension 25%, MF 9%, Govt 6%, Banks 5.5%"
INE020B08AY3,30/06/2026,"PF/Pension 41%, MF 22%, Insurance 20%, Trusts 14%, Govt 3%, Corporates 0.7%, others 0.2%"
INE020B08AZ0,30/06/2026,"Insurance 36%, PF/Pension 29%, Trusts 23%, MF 13%, Corporates 0.2%, Banks 0.1%"
INE020B08BA1,30/06/2026,"Govt 74%, Trusts 11%, Insurance 4.9%, PF/Pension 3.3%, MF 2.4%, Corporates 2%, others 1.8%"
INE020B08BC7,30/06/2026,"Trusts 41%, Govt 27%, Insurance 15%, MF 13%, Corporates 3.2%, Banks 0.3%"
INE020B08BE3,30/06/2026,"Insurance 31%, Trusts 24%, MF 20%, PF/Pension 16%, Govt 6%, Corporates 1.7%, others 0.1%"
INE020B08BG8,30/06/2026,"Trusts 43%, Insurance 25%, MF 11%, Corporates 6.9%, Banks 5%, Govt 4.9%, others 4.9%"
INE020B08BH6,30/06/2026,"Trusts 31%, MF 27%, Insurance 20%, Corporates 10%, Govt 8.8%, PF/Pension 3.2%, others 0.7%"
INE020B08BJ2,30/06/2026,"Govt 46%, Insurance 21%, PF/Pension 13%, Trusts 10%, MF 10%"
INE020B08BL8,30/06/2026,"Trusts 27%, Insurance 20%, Corporates 18%, PF/Pension 18%, Govt 11%, MF 6.7%"
INE020B08BO2,30/06/2026,"Insurance 27%, Govt 21%, MF 17%, Corporates 14%, Trusts 13%, PF/Pension 5.7%, others 2.1%"
INE020B08BP9,30/06/2026,"Trusts 78%, Govt 6.8%, Insurance 6.2%, Corporates 3.7%, Banks 3.4%, MF 0.8%, others 0.7%"
INE020B08BQ7,30/06/2026,"Insurance 31%, Trusts 20%, MF 19%, Banks 16%, Corporates 8.9%, PF/Pension 3.4%, others 1.3%"
INE020B08BS3,30/06/2026,"Insurance 36%, MF 23%, Trusts 20%, Corporates 10%, Govt 5.4%, PF/Pension 3.7%, others 1.1%"
INE020B08BU9,30/06/2026,"Insurance 35%, Trusts 26%, MF 19%, Corporates 7.6%, Govt 6.3%, PF/Pension 2.7%, others 3.4%"
INE020B08CI2,30/06/2026,"MF 48%, Insurance 20%, Corporates 15%, Govt 7.6%, PF/Pension 6.8%, Trusts 2.1%"
INE020B08CO0,30/06/2026,"Insurance 68%, Trusts 15%, Banks 9.3%, Corporates 3.3%, PF/Pension 2.7%, MF 1.7%, others 0.3%"
INE020B08CU7,30/06/2026,"Govt 37%, Trusts 25%, Insurance 10%, MF 9.2%, Corporates 8.9%, Banks 6.3%, others 3.2%"
INE020B08CX1,30/06/2026,"Trusts 71%, Corporates 7.1%, MF 6.2%, Govt 6.1%, Insurance 5.4%, Individuals 1.7%, others 2.5%"
INE020B08DA7,30/06/2026,"MF 69%, Insurance 10%, PF/Pension 7.9%, Govt 7.4%, Corporates 2.5%, FPI 2.1%, others 2%"
INE020B08DI0,30/06/2026,"Insurance 38%, MF 27%, PF/Pension 15%, Banks 14%, Corporates 3%, Trusts 2.9%"
INE020B08DO8,30/06/2026,"Govt 75%, Trusts 18%, PF/Pension 5.7%, Insurance 0.6%, MF 0.2%, Banks 0.1%"
INE020B08DT7,30/06/2026,"MF 47%, Corporates 40%, Banks 7.5%, Insurance 4.6%, Trusts 1.2%"
