isin,as_of,yield,source,holders
IN000127C018,2026-06-30,5.66,HDFC,HDFC
IN000127C018,2026-07-15,5.66,HDFC,HDFC
IN000127C018,2026-07-31,5.62,HDFC,HDFC (2)
IN000130C012,2026-06-30,6.66,HDFC,HDFC
IN000130C012,2026-07-15,6.68,HDFC,HDFC
IN000130C012,2026-07-31,6.76,HDFC,HDFC (8)
IN000227C024,2026-06-30,5.68,HDFC,HDFC; SBI; Nippon
IN000227C024,2026-07-15,5.77,HDFC,HDFC; SBI; Nippon
IN000227C024,2026-07-31,5.77,HDFC,HDFC (150); SBI (64); Nippon (39)
IN000227C024,2026-08-15,5.6995,SBI,SBI (64); Nippon (39)
IN000227C032,2026-06-30,5.6847,Axis,Axis
IN000227C032,2026-07-31,5.7696,Axis,Axis (10)
IN000227C032,2026-08-15,5.6127,Axis,Axis (10)
IN000228C030,2026-06-30,6.1347,Axis,Axis
IN000228C030,2026-07-31,6.212,Axis,Axis (10)
IN000228C030,2026-08-15,6.212,Axis,Axis (10)
IN000229C020,2026-06-30,6.3806,SBI,SBI; Aditya Birla
IN000229C020,2026-07-15,6.4363,SBI,SBI
IN000229C020,2026-07-31,6.5061,SBI,SBI (4); Aditya Birla (1)
IN000229C020,2026-08-15,6.455,SBI,SBI (4)
IN000230C028,2026-06-30,6.67,HDFC,HDFC
IN000230C028,2026-07-15,6.7,HDFC,HDFC
IN000230C028,2026-07-31,6.77,HDFC,HDFC (24)
IN000231C026,2026-06-30,6.7858,Aditya Birla,Aditya Birla; Kotak
IN000231C026,2026-07-31,6.8197,Aditya Birla,Aditya Birla (4); Kotak (23)
IN000231C026,2026-08-15,6.73,Kotak,Kotak (23)
IN000327C048,2026-06-30,5.68,HDFC,HDFC; SBI; Aditya Birla; Nippon
IN000327C048,2026-07-15,5.78,HDFC,HDFC; SBI; Nippon
IN000327C048,2026-07-31,5.77,HDFC,HDFC (26); SBI (25); Aditya Birla (101); Nippon (2)
IN000327C048,2026-08-15,5.7083,SBI,SBI (25); Nippon (2)
IN000327C055,2026-06-30,5.6847,SBI,SBI; Aditya Birla; Nippon
IN000327C055,2026-07-15,5.7761,SBI,SBI; Nippon
IN000327C055,2026-07-31,5.7704,SBI,SBI (9); Aditya Birla (38); Nippon (24)
IN000327C055,2026-08-15,5.7057,SBI,SBI (9); Nippon (24)
IN000328C046,2026-06-30,6.1967,Aditya Birla,Aditya Birla
IN000328C046,2026-07-31,6.2666,Aditya Birla,Aditya Birla (14)
IN000328C053,2026-06-30,6.1927,Aditya Birla,Aditya Birla
IN000328C053,2026-07-31,6.2635,Aditya Birla,Aditya Birla (32)
IN000329C044,2026-06-30,6.3871,SBI,SBI; Aditya Birla; Nippon
IN000329C044,2026-07-15,6.4439,SBI,SBI; Nippon
IN000329C044,2026-07-31,6.5159,SBI,SBI (3); Aditya Birla (31); Nippon (0)
IN000329C044,2026-08-15,6.456,SBI,SBI (3); Nippon (0)
IN000329C051,2026-06-30,6.3854,SBI,SBI; Aditya Birla
IN000329C051,2026-07-15,6.4419,SBI,SBI
IN000329C051,2026-07-31,6.5133,SBI,SBI (1); Aditya Birla (9)
IN000329C051,2026-08-15,6.4558,SBI,SBI (1)
IN000330C042,2026-06-30,6.68,HDFC,HDFC
IN000330C042,2026-07-15,6.7,HDFC,HDFC
IN000330C042,2026-07-31,6.77,HDFC,HDFC (66)
IN000330C059,2026-06-30,6.67,HDFC,HDFC
IN000330C059,2026-07-15,6.7,HDFC,HDFC
IN000330C059,2026-07-31,6.77,HDFC,HDFC (4)
IN000427C020,2026-06-30,5.77,HDFC,HDFC
IN000427C020,2026-07-15,5.81,HDFC,HDFC
IN000427C020,2026-07-31,5.78,HDFC,HDFC (5)
IN000427C038,2026-06-30,5.7986,SBI,SBI
IN000427C038,2026-07-15,5.8231,SBI,SBI
IN000427C038,2026-07-31,5.7778,SBI,SBI (6)
IN000427C038,2026-08-15,5.8115,SBI,SBI (6)
IN000427C046,2026-06-30,5.7818,SBI,SBI
IN000427C046,2026-07-15,5.8215,SBI,SBI
IN000427C046,2026-07-31,5.7766,SBI,SBI (14)
IN000427C046,2026-08-15,5.8105,SBI,SBI (14)
IN000428C044,2026-06-30,6.2507,Aditya Birla,Aditya Birla
IN000428C044,2026-07-31,6.2918,Aditya Birla,Aditya Birla (23)
IN000429C042,2026-06-30,6.4066,Nippon,Nippon
IN000429C042,2026-07-15,6.4626,Nippon,Nippon
IN000429C042,2026-07-31,6.5253,Nippon,Nippon (55)
IN000429C042,2026-08-15,6.4791,Nippon,Nippon (55)
IN000430C016,2026-06-30,6.68,HDFC,HDFC
IN000430C016,2026-07-15,6.76,HDFC,HDFC
IN000430C016,2026-07-31,6.78,HDFC,HDFC (20)
IN000430C032,2026-06-30,6.6742,SBI,SBI
IN000430C032,2026-07-15,6.7552,SBI,SBI
IN000430C032,2026-07-31,6.7804,SBI,SBI (1)
IN000430C032,2026-08-15,6.6762,SBI,SBI (1)
IN000430C040,2026-06-30,6.6723,Aditya Birla,Aditya Birla; Nippon
IN000430C040,2026-07-15,6.7534,Nippon,Nippon
IN000430C040,2026-07-31,6.779,Aditya Birla,Aditya Birla (12); Nippon (63)
IN000430C040,2026-08-15,6.6746,Nippon,Nippon (64)
IN000431C014,2026-06-30,6.78,Kotak,Kotak
IN000431C014,2026-07-31,6.83,Kotak,Kotak (6)
IN000431C014,2026-08-15,6.73,Kotak,Kotak (6)
IN000431C030,2026-06-30,6.78,Kotak,Kotak
IN000431C030,2026-07-31,6.83,Kotak,Kotak (19)
IN000431C030,2026-08-15,6.73,Kotak,Kotak (19)
IN000435C031,2026-06-30,7.19,HDFC,HDFC
IN000435C049,2026-06-30,7.1921,Aditya Birla,Aditya Birla
IN000435C049,2026-07-31,7.2719,Aditya Birla,Aditya Birla (15)
IN000436C039,2026-06-30,7.22,Kotak,Kotak
IN000436C039,2026-07-31,7.31,Kotak,Kotak (17)
IN000436C039,2026-08-15,7.21,Kotak,Kotak (17)
IN000436C047,2026-06-30,7.2228,Aditya Birla,Aditya Birla; Kotak
IN000436C047,2026-07-31,7.3083,Aditya Birla,Aditya Birla (33); Kotak (8)
IN000436C047,2026-08-15,7.21,Kotak,Kotak (8)
IN000437C037,2026-06-30,7.24,Kotak,Kotak
IN000437C037,2026-07-31,7.32,Kotak,Kotak (17)
IN000437C037,2026-08-15,7.26,Kotak,Kotak (17)
IN000437C045,2026-06-30,7.2412,Aditya Birla,Aditya Birla; Kotak
IN000437C045,2026-07-31,7.3202,Aditya Birla,Aditya Birla (52); Kotak (14)
IN000437C045,2026-08-15,7.26,Kotak,Kotak (14)
IN000438C035,2026-06-30,7.25,Kotak,Kotak
IN000438C035,2026-07-31,7.32,Kotak,Kotak (20)
IN000438C035,2026-08-15,7.27,Kotak,Kotak (20)
IN000438C043,2026-06-30,7.2506,Aditya Birla,Aditya Birla; Kotak
IN000438C043,2026-07-31,7.3221,Aditya Birla,Aditya Birla (29); Kotak (13)
IN000438C043,2026-08-15,7.27,Kotak,Kotak (13)
IN000439C033,2026-06-30,7.33,Kotak,Kotak
IN000439C033,2026-07-31,7.36,Kotak,Kotak (17)
IN000439C033,2026-08-15,7.3,Kotak,Kotak (17)
IN000439C041,2026-06-30,7.3269,Aditya Birla,Aditya Birla; Kotak
IN000439C041,2026-07-31,7.36,Aditya Birla,Aditya Birla (18); Kotak (12)
IN000439C041,2026-08-15,7.3,Kotak,Kotak (12)
IN000443C043,2026-06-30,7.62,Kotak,Kotak
IN000443C043,2026-07-31,7.66,Kotak,Kotak (7)
IN000444C041,2026-06-30,7.7,Kotak,Kotak
IN000444C041,2026-07-31,7.73,Kotak,Kotak (15)
IN000445C048,2026-06-30,7.78,Kotak,Kotak
IN000445C048,2026-07-31,7.8,Kotak,Kotak (14)
IN000528C025,2026-06-30,6.2626,Axis,Axis
IN000528C025,2026-07-31,6.3012,Axis,Axis (9)
IN000528C025,2026-08-15,6.2799,Axis,Axis (9)
IN000529C023,2026-06-30,6.4116,SBI,SBI
IN000529C023,2026-07-15,6.4686,SBI,SBI
IN000529C023,2026-07-31,6.5329,SBI,SBI (3)
IN000529C023,2026-08-15,6.4799,SBI,SBI (3)
IN000530C021,2026-06-30,6.6847,Aditya Birla,Aditya Birla
IN000530C021,2026-07-31,6.7832,Aditya Birla,Aditya Birla (39)
IN000530C039,2026-06-30,6.6938,Aditya Birla,Aditya Birla
IN000530C039,2026-07-31,6.7869,Aditya Birla,Aditya Birla (12)
IN000534C023,2026-06-30,7.15,Kotak,Kotak
IN000534C023,2026-07-31,7.23,Kotak,Kotak (18)
IN000534C023,2026-08-15,7.13,Kotak,Kotak (18)
IN000535C020,2026-06-30,7.19,HDFC,HDFC; Kotak
IN000535C020,2026-07-31,7.27,Kotak,Kotak (6)
IN000535C020,2026-08-15,7.19,Kotak,Kotak (6)
IN000536C028,2026-06-30,7.22,Kotak,Kotak
IN000536C028,2026-07-31,7.31,Kotak,Kotak (3)
IN000536C028,2026-08-15,7.21,Kotak,Kotak (3)
IN000537C018,2026-06-30,7.24,Kotak,Kotak
IN000537C018,2026-07-31,7.32,Kotak,Kotak (22)
IN000537C018,2026-08-15,7.26,Kotak,Kotak (22)
IN000537C026,2026-06-30,7.24,Kotak,Kotak
IN000537C026,2026-07-31,7.32,Kotak,Kotak (10)
IN000537C026,2026-08-15,7.26,Kotak,Kotak (10)
IN000538C016,2026-06-30,7.25,Kotak,Kotak
IN000538C016,2026-07-31,7.32,Kotak,Kotak (20)
IN000538C016,2026-08-15,7.27,Kotak,Kotak (20)
IN000538C024,2026-06-30,7.25,Kotak,Kotak
IN000538C024,2026-07-31,7.32,Kotak,Kotak (9)
IN000538C024,2026-08-15,7.27,Kotak,Kotak (9)
IN000539C022,2026-06-30,7.34,Kotak,Kotak
IN000539C022,2026-07-31,7.37,Kotak,Kotak (2)
IN000539C022,2026-08-15,7.31,Kotak,Kotak (2)
IN000540C020,2026-06-30,7.46,Kotak,Kotak
IN000540C020,2026-07-31,7.49,Kotak,Kotak (2)
IN000540C020,2026-08-15,7.41,Kotak,Kotak (2)
IN000541C028,2026-06-30,7.5,Kotak,Kotak
IN000541C028,2026-07-31,7.51,Kotak,Kotak (9)
IN000541C028,2026-08-15,7.43,Kotak,Kotak (9)
IN000542C026,2026-06-30,7.56,Kotak,Kotak
IN000543C024,2026-06-30,7.63,Kotak,Kotak
IN000543C024,2026-07-31,7.67,Kotak,Kotak (8)
IN000544C022,2026-06-30,7.71,Kotak,Kotak
IN000544C022,2026-07-31,7.73,Kotak,Kotak (2)
IN000627C033,2026-06-30,5.86,HDFC,HDFC; Aditya Birla; Nippon; UTI
IN000627C033,2026-07-15,5.95,HDFC,HDFC; Nippon
IN000627C033,2026-07-31,5.94,HDFC,HDFC (5); Aditya Birla (10); Nippon (1); UTI (65)
IN000627C033,2026-08-15,5.8138,Nippon,Nippon (1)
IN000627C041,2026-06-30,5.8585,SBI,SBI; Aditya Birla; Nippon
IN000627C041,2026-07-15,5.9524,SBI,SBI; Nippon
IN000627C041,2026-07-31,5.9308,SBI,SBI (12); Aditya Birla (10); Nippon (9)
IN000627C041,2026-08-15,5.8138,SBI,SBI (12); Nippon (9)
IN000627C058,2026-06-30,5.8585,SBI,SBI; Nippon
IN000627C058,2026-07-15,5.9524,SBI,SBI; Nippon
IN000627C058,2026-07-31,5.9354,SBI,SBI (8); Nippon (10)
IN000627C058,2026-08-15,5.8138,SBI,SBI (9); Nippon (10)
IN000627C074,2026-06-30,5.8585,SBI,SBI; Aditya Birla; Nippon
IN000627C074,2026-07-15,5.9524,SBI,SBI; Nippon
IN000627C074,2026-07-31,5.9369,SBI,SBI (8); Aditya Birla (14); Nippon (1)
IN000627C074,2026-08-15,5.8138,SBI,SBI (8); Nippon (1)
IN000627C090,2026-06-30,5.8585,SBI,SBI; Aditya Birla; Nippon
IN000627C090,2026-07-15,5.9532,SBI,SBI; Nippon
IN000627C090,2026-07-31,5.9416,SBI,SBI (2); Aditya Birla (8); Nippon (2)
IN000627C090,2026-08-15,5.8165,SBI,SBI (2); Nippon (2)
IN000628C031,2026-06-30,6.3595,Nippon,Nippon
IN000628C031,2026-07-15,6.3274,Nippon,Nippon
IN000628C031,2026-07-31,6.3312,Nippon,Nippon (1)
IN000628C031,2026-08-15,6.3625,Nippon,Nippon (1)
IN000628C049,2026-06-30,6.3568,SBI,SBI; Nippon
IN000628C049,2026-07-15,6.3249,SBI,SBI; Nippon
IN000628C049,2026-07-31,6.3289,SBI,SBI (6); Nippon (5)
IN000628C049,2026-08-15,6.3591,SBI,SBI (6); Nippon (5)
IN000628C072,2026-06-30,6.3591,Aditya Birla,Aditya Birla; Nippon
IN000628C072,2026-07-15,6.3269,Nippon,Nippon
IN000628C072,2026-07-31,6.3307,Aditya Birla,Aditya Birla (18); Nippon (5)
IN000628C072,2026-08-15,6.3618,Nippon,Nippon (5)
IN000629C039,2026-06-30,6.4659,Aditya Birla,Aditya Birla
IN000629C039,2026-07-31,6.576,Aditya Birla,Aditya Birla (4)
IN000629C054,2026-06-30,6.4654,Aditya Birla,Aditya Birla
IN000629C054,2026-07-31,6.5753,Aditya Birla,Aditya Birla (1)
IN000629C088,2026-06-30,6.4621,Aditya Birla,Aditya Birla
IN000629C088,2026-07-31,6.5702,Aditya Birla,Aditya Birla (1)
IN000630C078,2026-06-30,6.6995,Aditya Birla,Aditya Birla
IN000630C078,2026-07-31,6.7911,Aditya Birla,Aditya Birla (24)
IN000631C043,2026-06-30,6.7911,Aditya Birla,Aditya Birla
IN000631C043,2026-07-31,6.8299,Aditya Birla,Aditya Birla (18)
IN000631C050,2026-06-30,6.79,Kotak,Kotak
IN000631C050,2026-07-31,6.83,Kotak,Kotak (73)
IN000631C050,2026-08-15,6.74,Kotak,Kotak (74)
IN000632C041,2026-06-30,6.9708,Aditya Birla,Aditya Birla
IN000632C041,2026-07-31,6.9809,Aditya Birla,Aditya Birla (17)
IN000635C044,2026-06-30,7.21,HDFC,HDFC
IN000726C017,2026-06-30,5.4749,SBI,SBI; Aditya Birla
IN000728C013,2026-06-30,6.3498,Nippon,Nippon
IN000728C013,2026-07-15,6.3458,Nippon,Nippon
IN000728C013,2026-07-31,6.3908,Nippon,Nippon (2)
IN000728C013,2026-08-15,6.3726,Nippon,Nippon (2)
IN000826C023,2026-06-30,5.3495,SBI,SBI; Aditya Birla; Axis
IN000826C023,2026-07-15,5.3429,SBI,SBI
IN000826C023,2026-07-31,5.4703,SBI,SBI (136); Aditya Birla (50); Axis (10)
IN000826C023,2026-08-15,5.4041,SBI,SBI (136); Axis (10)
IN000826C031,2026-07-31,5.5421,SBI,SBI (15)
IN000827C021,2026-06-30,5.8874,Axis,Axis
IN000827C021,2026-07-31,5.9717,Axis,Axis (16)
IN000827C021,2026-08-15,5.9429,Axis,Axis (16)
IN000827C039,2026-06-30,5.8778,Axis,Axis
IN000827C039,2026-07-31,5.964,Axis,Axis (10)
IN000827C039,2026-08-15,5.9354,Axis,Axis (10)
IN000828C029,2026-06-30,6.3618,Aditya Birla,Aditya Birla
IN000828C029,2026-07-31,6.4116,Aditya Birla,Aditya Birla (28)
IN000829C027,2026-06-30,6.5558,Aditya Birla,Aditya Birla
IN000829C027,2026-07-31,6.7107,Aditya Birla,Aditya Birla (12)
IN000831C023,2026-06-30,6.8127,Aditya Birla,Aditya Birla
IN000831C023,2026-07-31,6.8392,Aditya Birla,Aditya Birla (4)
IN000832C039,2026-06-30,6.9776,Axis,Axis
IN000832C039,2026-07-31,7.0187,Axis,Axis (17)
IN000832C039,2026-08-15,6.9444,Axis,Axis (17)
IN000926C021,2026-06-30,5.373,SBI,SBI
IN000926C021,2026-07-15,5.4637,SBI,SBI
IN000926C021,2026-07-31,5.4312,SBI,SBI (16)
IN000926C021,2026-08-15,5.3866,SBI,SBI (16)
IN000926C047,2026-06-30,5.3711,SBI,SBI; Aditya Birla
IN000926C047,2026-07-15,5.4673,SBI,SBI
IN000926C047,2026-07-31,5.4337,SBI,SBI (106); Aditya Birla (67)
IN000926C047,2026-08-15,5.3846,SBI,SBI (106)
IN000926C054,2026-06-30,5.3743,SBI,SBI; Aditya Birla
IN000926C054,2026-07-15,5.463,SBI,SBI
IN000926C054,2026-07-31,5.4294,SBI,SBI (13); Aditya Birla (41)
IN000926C054,2026-08-15,5.3955,SBI,SBI (13)
IN000926C070,2026-06-30,5.36,HDFC,HDFC
IN000926C070,2026-07-15,5.35,HDFC,HDFC
IN000926C070,2026-07-31,5.43,HDFC,HDFC (3)
IN000926P015,2026-06-30,5.36,HDFC,HDFC
IN000926P015,2026-07-15,5.35,HDFC,HDFC
IN000926P015,2026-07-31,5.43,HDFC,HDFC (80)
IN000927C045,2026-06-30,5.9836,Aditya Birla,Aditya Birla
IN000927C045,2026-07-31,6.0919,Aditya Birla,Aditya Birla (19)
IN000927C052,2026-06-30,5.9796,Aditya Birla,Aditya Birla; Axis
IN000927C052,2026-07-31,6.0887,Aditya Birla,Aditya Birla (10); Axis (23)
IN000927C052,2026-08-15,6.0674,Axis,Axis (23)
IN000928C043,2026-06-30,6.3683,Aditya Birla,Aditya Birla
IN000928C043,2026-07-31,6.4213,Aditya Birla,Aditya Birla (5)
IN000928C050,2026-06-30,6.3666,Aditya Birla,Aditya Birla
IN000928C050,2026-07-31,6.4188,Aditya Birla,Aditya Birla (9)
IN000929C041,2026-06-30,6.56,HDFC,HDFC; SBI
IN000929C041,2026-07-15,6.67,HDFC,HDFC; SBI
IN000929C041,2026-07-31,6.72,HDFC,HDFC (30); SBI (3)
IN000929C041,2026-08-15,6.5817,SBI,SBI (3)
IN001026C011,2026-06-30,5.4058,SBI,SBI
IN001026C011,2026-07-15,5.5059,SBI,SBI
IN001026C011,2026-07-31,5.4376,SBI,SBI (4)
IN001026C011,2026-08-15,5.4439,SBI,SBI (4)
IN001026C037,2026-06-30,5.3978,SBI,SBI
IN001026C037,2026-07-15,5.5007,SBI,SBI
IN001026C037,2026-07-31,5.4305,SBI,SBI (25)
IN001026C037,2026-08-15,5.4418,SBI,SBI (25)
IN001026C045,2026-06-30,5.3838,Aditya Birla,Aditya Birla
IN001026C045,2026-07-31,5.4181,Aditya Birla,Aditya Birla (25)
IN001028C033,2026-06-30,6.3762,Axis,Axis
IN001028C033,2026-07-31,6.4333,Axis,Axis (13)
IN001028C033,2026-08-15,6.4057,Axis,Axis (13)
IN001028C041,2026-06-30,6.3745,Aditya Birla,Aditya Birla
IN001028C041,2026-07-31,6.4307,Aditya Birla,Aditya Birla (22)
IN001029C031,2026-06-30,6.5717,Aditya Birla,Aditya Birla
IN001029C031,2026-07-31,6.7226,Aditya Birla,Aditya Birla (12)
IN001029C049,2026-06-30,6.5699,Nippon,Nippon
IN001029C049,2026-07-15,6.6801,Nippon,Nippon
IN001029C049,2026-07-31,6.7212,Nippon,Nippon (51)
IN001029C049,2026-08-15,6.5875,Nippon,Nippon (51)
IN001030C047,2026-06-30,6.7767,Aditya Birla,Aditya Birla
IN001030C047,2026-07-31,6.8072,Aditya Birla,Aditya Birla (12)
IN001032C043,2026-06-30,6.9766,Axis,Axis
IN001032C043,2026-07-31,7.0221,Axis,Axis (17)
IN001032C043,2026-08-15,6.9568,Axis,Axis (17)
IN001033C041,2026-06-30,7.114,Aditya Birla,Aditya Birla
IN001033C041,2026-07-31,7.1108,Aditya Birla,Aditya Birla (28)
IN001034C049,2026-06-30,7.1714,Aditya Birla,Aditya Birla
IN001034C049,2026-07-31,7.2556,Aditya Birla,Aditya Birla (14)
IN001035C038,2026-06-30,7.22,HDFC,HDFC; Kotak
IN001035C038,2026-07-31,7.29,Kotak,Kotak (16)
IN001035C038,2026-08-15,7.2,Kotak,Kotak (16)
IN001036C036,2026-06-30,7.22,Kotak,Kotak
IN001036C036,2026-07-31,7.31,Kotak,Kotak (15)
IN001036C036,2026-08-15,7.24,Kotak,Kotak (15)
IN001036C044,2026-06-30,7.2166,Aditya Birla,Aditya Birla; Kotak
IN001036C044,2026-07-31,7.312,Aditya Birla,Aditya Birla (32); Kotak (15)
IN001036C044,2026-08-15,7.24,Kotak,Kotak (15)
IN001037C034,2026-06-30,7.24,Kotak,Kotak
IN001037C034,2026-07-31,7.32,Kotak,Kotak (16)
IN001037C034,2026-08-15,7.27,Kotak,Kotak (16)
IN001037C042,2026-06-30,7.2443,Aditya Birla,Aditya Birla
IN001037C042,2026-07-31,7.3233,Aditya Birla,Aditya Birla (46)
IN001038C032,2026-06-30,7.28,Kotak,Kotak
IN001038C032,2026-07-31,7.33,Kotak,Kotak (6)
IN001038C032,2026-08-15,7.28,Kotak,Kotak (7)
IN001039C030,2026-06-30,7.38,Kotak,Kotak
IN001039C030,2026-07-31,7.39,Kotak,Kotak (12)
IN001039C030,2026-08-15,7.34,Kotak,Kotak (12)
IN001039C048,2026-06-30,7.3798,Aditya Birla,Aditya Birla
IN001039C048,2026-07-31,7.3912,Aditya Birla,Aditya Birla (18)
IN001041C036,2026-06-30,7.52,Kotak,Kotak
IN001041C036,2026-07-31,7.52,Kotak,Kotak (2)
IN001041C036,2026-08-15,7.45,Kotak,Kotak (2)
IN001042C042,2026-06-30,7.59,Kotak,Kotak
IN001042C042,2026-07-31,7.62,Kotak,Kotak (9)
IN001043C040,2026-06-30,7.67,Kotak,Kotak
IN001043C040,2026-07-31,7.69,Kotak,Kotak (16)
IN001044C048,2026-06-30,7.74,Kotak,Kotak
IN001044C048,2026-07-31,7.76,Kotak,Kotak (6)
IN001126C027,2026-06-30,5.4802,SBI,SBI
IN001126C027,2026-07-15,5.5532,SBI,SBI
IN001126C027,2026-07-31,5.4956,SBI,SBI (4)
IN001126C027,2026-08-15,5.4489,SBI,SBI (4)
IN001128C023,2026-06-30,6.3795,SBI,SBI
IN001128C023,2026-07-15,6.384,SBI,SBI
IN001128C023,2026-07-31,6.4384,SBI,SBI (3)
IN001128C023,2026-08-15,6.4063,SBI,SBI (3)
IN001134C021,2026-06-30,7.18,Kotak,Kotak
IN001134C021,2026-07-31,7.26,Kotak,Kotak (17)
IN001134C021,2026-08-15,7.16,Kotak,Kotak (18)
IN001135C028,2026-06-30,7.21,HDFC,HDFC; Kotak
IN001135C028,2026-07-31,7.29,Kotak,Kotak (19)
IN001135C028,2026-08-15,7.21,Kotak,Kotak (19)
IN001136C026,2026-06-30,7.22,Kotak,Kotak
IN001136C026,2026-07-31,7.31,Kotak,Kotak (18)
IN001136C026,2026-08-15,7.24,Kotak,Kotak (18)
IN001137C016,2026-06-30,7.24,Kotak,Kotak
IN001137C016,2026-07-31,7.32,Kotak,Kotak (16)
IN001137C016,2026-08-15,7.27,Kotak,Kotak (16)
IN001137C024,2026-06-30,7.24,Kotak,Kotak
IN001137C024,2026-07-31,7.32,Kotak,Kotak (10)
IN001137C024,2026-08-15,7.27,Kotak,Kotak (10)
IN001138C022,2026-06-30,7.28,Kotak,Kotak
IN001138C022,2026-07-31,7.34,Kotak,Kotak (9)
IN001138C022,2026-08-15,7.28,Kotak,Kotak (9)
IN001139C020,2026-06-30,7.39,Kotak,Kotak
IN001139C020,2026-07-31,7.4,Kotak,Kotak (2)
IN001139C020,2026-08-15,7.34,Kotak,Kotak (2)
IN001140C028,2026-06-30,7.47,Kotak,Kotak
IN001140C028,2026-07-31,7.5,Kotak,Kotak (2)
IN001140C028,2026-08-15,7.43,Kotak,Kotak (2)
IN001141C026,2026-06-30,7.53,Kotak,Kotak
IN001142C024,2026-06-30,7.59,Kotak,Kotak
IN001142C024,2026-07-31,7.63,Kotak,Kotak (2)
IN001143C022,2026-06-30,7.68,Kotak,Kotak
IN001143C022,2026-07-31,7.7,Kotak,Kotak (2)
IN001144C020,2026-06-30,7.74,Kotak,Kotak
IN001144C020,2026-07-31,7.77,Kotak,Kotak (1)
IN001226C033,2026-06-30,5.5,HDFC,HDFC; SBI; Kotak
IN001226C033,2026-07-15,5.59,HDFC,HDFC; SBI
IN001226C033,2026-07-31,5.55,HDFC,HDFC (5); SBI (52); Kotak (25)
IN001226C033,2026-08-15,5.5522,SBI,SBI (52); Kotak (25)
IN001226C041,2026-06-30,5.4997,SBI,SBI; Aditya Birla
IN001226C041,2026-07-15,5.5846,SBI,SBI
IN001226C041,2026-07-31,5.5474,SBI,SBI (27); Aditya Birla (10)
IN001226C041,2026-08-15,5.5396,SBI,SBI (27)
IN001226C058,2026-06-30,5.4997,SBI,SBI; Aditya Birla
IN001226C058,2026-07-15,5.5867,SBI,SBI
IN001226C058,2026-07-31,5.5499,SBI,SBI (62); Aditya Birla (56)
IN001226C058,2026-08-15,5.5471,SBI,SBI (63)
IN001226C066,2026-06-30,5.4997,SBI,SBI
IN001226C066,2026-07-15,5.5995,SBI,SBI
IN001226C066,2026-07-31,5.5565,SBI,SBI (5)
IN001226C066,2026-08-15,5.5615,SBI,SBI (5)
IN001226C074,2026-06-30,5.4997,SBI,SBI; Aditya Birla
IN001226C074,2026-07-15,5.5874,SBI,SBI
IN001226C074,2026-07-31,5.5507,SBI,SBI (65); Aditya Birla (78)
IN001226C074,2026-08-15,5.5496,SBI,SBI (65)
IN001226C082,2026-06-30,5.4997,SBI,SBI
IN001226C082,2026-07-15,5.5768,SBI,SBI
IN001226C082,2026-07-31,5.5371,SBI,SBI (10)
IN001226C082,2026-08-15,5.5121,SBI,SBI (10)
IN001226C090,2026-06-30,5.4997,SBI,SBI; Aditya Birla
IN001226C090,2026-07-15,5.5926,SBI,SBI
IN001226C090,2026-07-31,5.5533,SBI,SBI (16); Aditya Birla (10)
IN001226C090,2026-08-15,5.5553,SBI,SBI (16)
IN001227C031,2026-06-30,6.13,HDFC,HDFC; Aditya Birla
IN001227C031,2026-07-15,6.19,HDFC,HDFC
IN001227C031,2026-07-31,6.17,HDFC,HDFC (5); Aditya Birla (0)
IN001227C049,2026-06-30,6.1303,Aditya Birla,Aditya Birla
IN001227C049,2026-07-31,6.163,Aditya Birla,Aditya Birla (9)
IN001227C056,2026-06-30,6.04,UTI,UTI
IN001227C056,2026-07-31,6.08,UTI,UTI (6)
IN001228C039,2026-06-30,6.3894,SBI,SBI
IN001228C039,2026-07-15,6.3956,SBI,SBI
IN001228C039,2026-07-31,6.4532,SBI,SBI (2)
IN001228C039,2026-08-15,6.4079,SBI,SBI (2)
IN001228C047,2026-06-30,6.3882,SBI,SBI
IN001228C047,2026-07-15,6.3942,SBI,SBI
IN001228C047,2026-07-31,6.4514,SBI,SBI (3)
IN001228C047,2026-08-15,6.4077,SBI,SBI (3)
IN001228C054,2026-06-30,6.3889,Aditya Birla,Aditya Birla
IN001228C054,2026-07-31,6.4525,Aditya Birla,Aditya Birla (9)
IN001228C070,2026-06-30,6.3891,SBI,SBI; Aditya Birla
IN001228C070,2026-07-15,6.3953,SBI,SBI
IN001228C070,2026-07-31,6.4528,SBI,SBI (7); Aditya Birla (9)
IN001228C070,2026-08-15,6.4078,SBI,SBI (7)
IN001228C096,2026-06-30,6.3899,SBI,SBI
IN001228C096,2026-07-15,6.3961,SBI,SBI
IN001228C096,2026-07-31,6.4539,SBI,SBI (2)
IN001228C096,2026-08-15,6.4079,SBI,SBI (2)
IN001229C052,2026-06-30,6.6314,SBI,SBI; Aditya Birla
IN001229C052,2026-07-15,6.7165,SBI,SBI
IN001229C052,2026-07-31,6.7523,SBI,SBI (1); Aditya Birla (4)
IN001229C052,2026-08-15,6.6248,SBI,SBI (1)
IN001229C078,2026-06-30,6.6316,Aditya Birla,Aditya Birla
IN001229C078,2026-07-31,6.7526,Aditya Birla,Aditya Birla (8)
IN001231C041,2026-06-30,6.8915,Aditya Birla,Aditya Birla
IN001231C041,2026-07-31,6.8653,Aditya Birla,Aditya Birla (18)
IN001232C031,2026-06-30,6.9757,Aditya Birla,Aditya Birla
